step 0: train loss 4.1916, val loss 4.1901
iter 300: loss 2.7049, time 26909.29ms, mfu 0.02%
iter 301: loss 2.7155, time 28463.40ms, mfu 0.02%
iter 302: loss 2.7067, time 27131.45ms, mfu 0.02%
iter 303: loss 2.7187, time 27022.38ms, mfu 0.02%
iter 304: loss 2.7183, time 27068.11ms, mfu 0.02%
iter 305: loss 2.7143, time 27174.58ms, mfu 0.02%
iter 306: loss 2.7285, time 26380.96ms, mfu 0.02%
iter 307: loss 2.7186, time 26187.50ms, mfu 0.02%
iter 308: loss 2.7196, time 26296.75ms, mfu 0.02%
iter 309: loss 2.6978, time 26674.55ms, mfu 0.02%
iter 310: loss 2.6889, time 25953.90ms, mfu 0.02%
iter 311: loss 2.6894, time 25576.74ms, mfu 0.03%
iter 312: loss 2.7056, time 25719.64ms, mfu 0.03%
iter 313: loss 2.6907, time 25315.05ms, mfu 0.03%
iter 314: loss 2.6897, time 26351.14ms, mfu 0.03%
iter 315: loss 2.6915, time 23311.45ms, mfu 0.03%
iter 316: loss 2.6745, time 23333.03ms, mfu 0.03%
iter 317: loss 2.7172, time 23641.17ms, mfu 0.03%
iter 318: loss 2.6906, time 25198.51ms, mfu 0.03%
iter 319: loss 2.7017, time 22535.30ms, mfu 0.03%
iter 320: loss 2.6832, time 22494.05ms, mfu 0.03%
iter 321: loss 2.6767, time 22744.65ms, mfu 0.03%
iter 322: loss 2.6760, time 22582.10ms, mfu 0.03%
iter 323: loss 2.6898, time 22487.01ms, mfu 0.03%
iter 324: loss 2.6853, time 22211.41ms, mfu 0.03%
iter 325: loss 2.6613, time 26314.72ms, mfu 0.03%
iter 326: loss 2.6581, time 28727.35ms, mfu 0.03%
iter 327: loss 2.6848, time 27594.58ms, mfu 0.03%
iter 328: loss 2.6490, time 27797.07ms, mfu 0.03%
iter 329: loss 2.6680, time 27988.90ms, mfu 0.03%
iter 330: loss 2.6824, time 27837.46ms, mfu 0.03%
iter 331: loss 2.6742, time 28306.24ms, mfu 0.03%
iter 332: loss 2.6911, time 28120.64ms, mfu 0.03%
iter 333: loss 2.6719, time 28233.71ms, mfu 0.03%
iter 334: loss 2.6612, time 27202.61ms, mfu 0.03%
iter 335: loss 2.6861, time 27576.18ms, mfu 0.03%
iter 336: loss 2.6425, time 32704.69ms, mfu 0.02%
iter 337: loss 2.6620, time 30189.00ms, mfu 0.02%
iter 338: loss 2.6665, time 30156.38ms, mfu 0.02%
iter 339: loss 2.6542, time 29169.69ms, mfu 0.02%
iter 340: loss 2.6299, time 31728.04ms, mfu 0.02%
iter 341: loss 2.6365, time 27751.90ms, mfu 0.02%
iter 342: loss 2.6858, time 28533.95ms, mfu 0.02%
iter 343: loss 2.6579, time 28340.24ms, mfu 0.02%
iter 344: loss 2.6542, time 31530.24ms, mfu 0.02%
iter 345: loss 2.6520, time 33545.84ms, mfu 0.02%
iter 346: loss 2.6561, time 29697.92ms, mfu 0.02%
iter 347: loss 2.6466, time 27240.45ms, mfu 0.02%
iter 348: loss 2.6348, time 28871.28ms, mfu 0.02%
iter 349: loss 2.6271, time 32222.14ms, mfu 0.02%
iter 350: loss 2.6363, time 26381.95ms, mfu 0.02%
iter 351: loss 2.6351, time 24191.44ms, mfu 0.02%
iter 352: loss 2.6321, time 25843.16ms, mfu 0.02%
iter 353: loss 2.6094, time 22992.62ms, mfu 0.02%
iter 354: loss 2.6250, time 23367.35ms, mfu 0.02%
iter 355: loss 2.6489, time 23348.03ms, mfu 0.03%
iter 356: loss 2.6152, time 23359.05ms, mfu 0.03%
iter 357: loss 2.6375, time 23135.94ms, mfu 0.03%
iter 358: loss 2.6196, time 23103.60ms, mfu 0.03%
iter 359: loss 2.6333, time 23261.32ms, mfu 0.03%
iter 360: loss 2.6197, time 23039.38ms, mfu 0.03%
iter 361: loss 2.6262, time 22986.85ms, mfu 0.03%
iter 362: loss 2.6089, time 23540.43ms, mfu 0.03%
iter 363: loss 2.6373, time 23533.46ms, mfu 0.03%
iter 364: loss 2.6018, time 23402.50ms, mfu 0.03%
iter 365: loss 2.5886, time 23127.81ms, mfu 0.03%
iter 366: loss 2.6077, time 23244.02ms, mfu 0.03%
iter 367: loss 2.6141, time 24268.01ms, mfu 0.03%
iter 368: loss 2.5954, time 27721.00ms, mfu 0.03%
iter 369: loss 2.6066, time 28688.14ms, mfu 0.03%
iter 370: loss 2.5966, time 28571.92ms, mfu 0.03%
iter 371: loss 2.5788, time 28161.51ms, mfu 0.03%
iter 372: loss 2.6117, time 25338.20ms, mfu 0.03%
iter 373: loss 2.6204, time 26339.10ms, mfu 0.03%
iter 374: loss 2.6086, time 27363.04ms, mfu 0.03%
iter 375: loss 2.5744, time 30473.27ms, mfu 0.03%
iter 376: loss 2.6154, time 29394.69ms, mfu 0.03%
iter 377: loss 2.5903, time 45263.89ms, mfu 0.02%
iter 378: loss 2.5881, time 62973.24ms, mfu 0.02%
iter 379: loss 2.6190, time 48627.23ms, mfu 0.02%
iter 380: loss 2.5830, time 26862.85ms, mfu 0.02%
iter 381: loss 2.5661, time 26528.93ms, mfu 0.02%
iter 382: loss 2.5929, time 27089.07ms, mfu 0.02%
iter 383: loss 2.5794, time 26992.56ms, mfu 0.02%
iter 384: loss 2.5735, time 30392.32ms, mfu 0.02%
iter 385: loss 2.5831, time 72589.11ms, mfu 0.02%
iter 386: loss 2.5783, time 66291.13ms, mfu 0.02%
iter 387: loss 2.5814, time 62784.55ms, mfu 0.02%
iter 388: loss 2.5644, time 67865.52ms, mfu 0.02%
iter 389: loss 2.5601, time 55886.61ms, mfu 0.02%
iter 390: loss 2.5690, time 26021.27ms, mfu 0.02%
iter 391: loss 2.5788, time 27073.28ms, mfu 0.02%
iter 392: loss 2.5697, time 25715.38ms, mfu 0.02%
iter 393: loss 2.5913, time 26626.64ms, mfu 0.02%
iter 394: loss 2.5780, time 26237.19ms, mfu 0.02%
iter 395: loss 2.5681, time 26183.43ms, mfu 0.02%
iter 396: loss 2.5655, time 25910.91ms, mfu 0.02%
iter 397: loss 2.5704, time 26613.67ms, mfu 0.02%
iter 398: loss 2.5561, time 25819.37ms, mfu 0.02%
iter 399: loss 2.5731, time 25793.70ms, mfu 0.02%
iter 400: loss 2.5692, time 25777.01ms, mfu 0.02%
iter 401: loss 2.5346, time 26698.30ms, mfu 0.02%
iter 402: loss 2.5502, time 47540.76ms, mfu 0.02%
iter 403: loss 2.5339, time 30404.68ms, mfu 0.02%
iter 404: loss 2.5834, time 27330.88ms, mfu 0.02%
iter 405: loss 2.5430, time 26208.85ms, mfu 0.02%
iter 406: loss 2.5551, time 25442.99ms, mfu 0.02%
iter 407: loss 2.5372, time 25465.19ms, mfu 0.02%
iter 408: loss 2.5607, time 34425.60ms, mfu 0.02%
iter 409: loss 2.5619, time 49041.34ms, mfu 0.02%
iter 410: loss 2.5742, time 29658.98ms, mfu 0.02%
iter 411: loss 2.5445, time 27502.53ms, mfu 0.02%
iter 412: loss 2.5558, time 27645.62ms, mfu 0.02%
iter 413: loss 2.5493, time 28614.84ms, mfu 0.02%
iter 414: loss 2.5425, time 27715.76ms, mfu 0.02%
iter 415: loss 2.5527, time 27067.29ms, mfu 0.02%
iter 416: loss 2.5345, time 27283.15ms, mfu 0.02%
iter 417: loss 2.5671, time 27156.69ms, mfu 0.02%
iter 418: loss 2.5474, time 27328.96ms, mfu 0.02%
iter 419: loss 2.5426, time 27160.24ms, mfu 0.02%
iter 420: loss 2.5664, time 27390.08ms, mfu 0.02%
iter 421: loss 2.5496, time 27283.28ms, mfu 0.02%
iter 422: loss 2.5721, time 28978.06ms, mfu 0.02%
iter 423: loss 2.5071, time 29498.80ms, mfu 0.02%
iter 424: loss 2.5520, time 31084.93ms, mfu 0.02%
iter 425: loss 2.5370, time 30952.04ms, mfu 0.02%
iter 426: loss 2.5648, time 30740.08ms, mfu 0.02%
iter 427: loss 2.5441, time 30412.76ms, mfu 0.02%
iter 428: loss 2.5410, time 29323.92ms, mfu 0.02%
iter 429: loss 2.5473, time 29117.82ms, mfu 0.02%
iter 430: loss 2.5391, time 28988.48ms, mfu 0.02%
iter 431: loss 2.5389, time 28977.21ms, mfu 0.02%
iter 432: loss 2.5576, time 29084.48ms, mfu 0.02%
iter 433: loss 2.5145, time 28939.96ms, mfu 0.02%
iter 434: loss 2.5568, time 29148.18ms, mfu 0.02%
iter 435: loss 2.5411, time 29044.98ms, mfu 0.02%
iter 436: loss 2.5462, time 36344.57ms, mfu 0.02%
iter 437: loss 2.5382, time 60135.97ms, mfu 0.02%
iter 438: loss 2.5321, time 59676.31ms, mfu 0.02%
iter 439: loss 2.5341, time 35295.51ms, mfu 0.02%
iter 440: loss 2.5315, time 26037.98ms, mfu 0.02%
iter 441: loss 2.5225, time 25905.91ms, mfu 0.02%
iter 442: loss 2.5242, time 26124.26ms, mfu 0.02%
iter 443: loss 2.4976, time 26332.64ms, mfu 0.02%
iter 444: loss 2.5355, time 25872.25ms, mfu 0.02%
iter 445: loss 2.5180, time 25906.19ms, mfu 0.02%
iter 446: loss 2.5086, time 25563.36ms, mfu 0.02%
iter 447: loss 2.5241, time 26312.00ms, mfu 0.02%
iter 448: loss 2.5069, time 26884.12ms, mfu 0.02%
